mapped_page,keyword,avg_monthly,competition,top_bid_high,source_group,intent,priority
Bath & Wellness (L2),bathtub chennai,50,High,23.78,core,Commercial,Medium
Bath & Wellness (L2),rooms with bathtub in chennai,50,High,22.29,core,Commercial,Medium
Bath & Wellness (L2),oyo rooms with bathtub in chennai,50,Medium,19.39,core,Commercial,Medium
Bath & Wellness (L2),bathtub rooms in chennai,50,High,15.97,core,Commercial,Medium
Bath & Wellness (L2),jacuzzi bath in chennai,50,High,12.36,core,Commercial,Medium
Bath & Wellness (L2),hindware bathtub price in chennai,50,Unknown,0.0,brands,Commercial,Low
Bath & Wellness (L2),jacuzzi bathtub chennai,50,Unknown,0.0,core,Commercial,Low
Bath & Wellness (L2),shower enclosure chennai,50,Medium,0.0,core,Informational,Low
Bathroom Fittings / Fixtures (L1),bathroom fittings wholesale in chennai,500,High,51.31,core,Commercial,High
Bathroom Fittings / Fixtures (L1),bathroom fittings chennai,500,High,45.45,core,Commercial,Medium
Bathroom Fittings / Fixtures (L1),bathroom fittings showroom in chennai,50,High,42.23,core,Commercial,Medium
Bathroom Fittings / Fixtures (L1),best bathroom fittings in chennai,50,High,31.36,core,Informational,Medium
Bathroom Fittings / Fixtures (L1),jaquar bathroom fittings chennai,50,Medium,22.51,core,Commercial,Medium
Bathroom Fittings / Fixtures (L1),bathroom fittings chennai parrys,50,Medium,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),bathroom fittings in parrys,50,Medium,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),bathroom fittings manufacturers in chennai,50,Unknown,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),jaquar bathroom fittings in chennai,50,Low,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),jaquar bathroom fittings service centre chennai,50,Low,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),jaquar bathroom fittings showroom in chennai,50,Low,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),johnson bathroom fittings customer care chennai,50,Unknown,0.0,core,Commercial,Low
Bathroom Fittings / Fixtures (L1),bathroom fixtures chennai,0,Unknown,0.0,core,Commercial,Low
Brand Keywords (to map by product relevance),rak ceramics chennai,500,Low,96.69,brands,Commercial,High
Brand Keywords (to map by product relevance),roff,500,High,32.05,brands,Commercial,Medium
Brand Keywords (to map by product relevance),grohe showroom in chennai,50,Low,35.02,brands,Commercial,Medium
Brand Keywords (to map by product relevance),hindware showroom chennai,50,Low,32.51,brands,Commercial,Medium
Brand Keywords (to map by product relevance),hindware dealer in chennai,50,Low,27.82,brands,Commercial,Medium
Brand Keywords (to map by product relevance),hindware dealers in chennai,50,Low,27.82,core,Commercial,Medium
Brand Keywords (to map by product relevance),hindware chennai,50,Medium,23.27,brands,Commercial,Low
Brand Keywords (to map by product relevance),ardex endura chennai,50,Low,0.0,brands,Commercial,Low
Brand Keywords (to map by product relevance),carysil chennai,50,Low,0.0,core,Commercial,Low
Brand Keywords (to map by product relevance),carysil dealers in chennai,50,Low,0.0,brands,Commercial,Low
Brand Keywords (to map by product relevance),carysil showroom in chennai,50,Low,0.0,core,Commercial,Low
